id,type,source,target
7012,/,57168,84069
7013,/,88668,41830
7014,\,34576,2467
7015,\,3641,3645
7016,\,18452,18449
7017,\,21670,21704
7018,\,1407,28112
7019,\,44021,44097
7020,\,46858,46848
7021,\,50385,50393
7022,\,53262,53271
7023,\,28543,54071
7024,\,55171,55172
7025,\,94078,61063
7026,\,65782,65790
7027,\,66496,66493
7028,\,76481,76478
7029,\,63227,80243
7030,\,43787,80242
7031,\,88729,88738
7032,\,91219,91220
7033,\,7037,92835
7034,\,98174,98450
7035,\,32710,105957
7036,\,108518,108522
7685,!,31954,103395
7686,!,106564,43633
7687,/,4968,4985
7688,/,77493,19932
7689,/,23121,21170
7690,/,36968,21170
7691,/,51191,21170
7692,/,63362,21170
7693,/,74802,21170
7694,/,83120,21170
7695,/,83171,21170
7696,/,93391,21170
7697,/,63400,26513
7698,/,5954,22274
7699,/,88411,40041
7700,/,83258,44292
7701,/,67578,46178
7702,/,69246,46178
7703,/,70620,46178
7704,/,71736,46178
7705,/,74360,46178
7706,/,75679,46178
7707,/,46133,46178
7708,/,92630,46178
7709,/,96087,46178
7710,/,96428,46178
7711,/,102367,46178
7712,/,111097,46178
7713,/,9410,54731
7714,/,37746,56812
7715,/,60967,60960
7716,/,65081,65087
7717,/,33959,68824
7718,/,35439,68824
7719,/,53348,68824
7720,/,63387,68824
7721,/,63921,68824
7722,/,76024,68824
7723,/,83270,68824
7724,/,83503,68824
7725,/,86001,68824
7726,/,96619,68824
7727,/,69491,69492
7728,/,17437,71188
7729,/,80012,79999
7730,/,91271,91292
7731,/,13241,98303
7732,/,13308,99726
7733,/,24576,101241
7734,/,31265,101241
7735,/,39303,101241
7736,/,96918,101241
7737,/,102731,101241
7738,/,105033,101241
7739,/,7107,99619
7740,/,13296,99619
7741,/,31172,99619
7742,/,78670,99619
7743,/,86356,99619
7744,/,103613,103625
7745,/,68926,106292
7746,/,53014,110706
7747,\,112244,41077
7748,\,27391,112263
7749,\,112292,112291
7791,!,22088,111174
7792,!,65449,63095
7793,!,94938,23319
7794,!,111174,22088
90513,!,400,20552
90514,!,404,20552
90515,!,5775,51054
90516,!,6458,96426
90517,!,8110,21666
90518,!,7125,27428
90519,!,15266,42815
90520,!,16057,98226
90521,!,7964,76082
90522,!,14914,61307
90523,!,19689,64088
90524,!,21390,90808
90525,!,21666,8110
90526,!,22006,85992
90527,!,23319,94894
90528,!,31954,102974
90529,!,39697,40041
90530,!,39697,62745
90531,!,35361,97649
90532,!,35361,26909
90533,!,54731,92183
90534,!,51054,5775
90535,!,67507,2490
90536,!,72901,82403
90537,!,79312,44003
90538,!,88377,5144
90539,!,88840,91580
90540,!,96426,6458
90541,!,89864,98630
90542,!,91195,44629
90543,!,92835,44003
90544,!,94938,16534
90545,!,97914,17525
90546,!,100232,58369
90547,!,102810,103713
90548,!,103713,102810
90549,!,106564,64815
90550,!,109568,47988
90551,!,109568,77250
90552,!,111174,100361
90553,/,23329,2490
90554,/,35828,2490
90555,/,74420,2490
90556,/,82675,2490
90557,/,94947,2490
90558,/,96024,2490
90559,/,2462,2467
90560,/,2464,2467
90561,/,2468,2467
90562,/,2470,2467
90563,/,2473,2467
90564,/,2474,2467
90565,/,2477,2467
90566,/,3723,3721
90567,/,48191,3721
90568,/,11910,12177
90569,/,14490,14191
90570,/,14494,14191
90571,/,14510,14191
90572,/,88474,14191
90573,/,34927,14739
90574,/,36250,14739
90575,/,53146,14739
90576,/,63668,14739
90577,/,84936,14739
90578,/,15672,15791
90579,/,15816,15791
90580,/,1877,1876
90581,/,19125,18646
90582,/,18646,19125
90583,/,19446,19444
90584,/,5837,19932
90585,/,23081,19932
90586,/,20262,20291
90587,/,20267,20291
90588,/,607,20477
90589,/,20552,20587
90590,/,20598,21284
90591,/,20208,20211
90592,/,5904,21170
90593,/,11654,21170
90594,/,16687,21170
90595,/,23335,23334
90596,/,6005,26513
90597,/,6592,26513
90598,/,8886,26513
90599,/,9302,26513
90600,/,9537,26513
90601,/,9642,26513
90602,/,11094,26513
90603,/,11813,26513
90604,/,34735,26513
90605,/,29550,26513
90606,/,30119,26513
90607,/,33367,26513
90608,/,35987,26513
90609,/,37198,26513
90610,/,51312,26513
90611,/,59836,26513
90612,/,63590,26513
90613,/,74305,26513
90614,/,76402,26513
90615,/,77592,26513
90616,/,83299,26513
90617,/,83383,26513
90618,/,85126,26513
90619,/,95635,26513
90620,/,95911,26513
90621,/,24915,27428
90622,/,24928,27428
90623,/,29554,27428
90624,/,30146,27428
90625,/,33394,27428
90626,/,75582,27428
90627,/,83314,27428
90628,/,22524,22527
90629,/,22702,22715
90630,/,9020,22274
90631,/,9246,22274
90632,/,11705,22274
90633,/,33207,22274
90634,/,37033,22274
90635,/,74258,22274
90636,/,95234,22274
90637,/,103864,22274
90638,/,23594,23589
90639,/,25333,25334
90640,/,26189,26194
90641,/,26194,26189
90642,/,26478,26856
90643,/,28108,28112
90644,/,31513,31473
90645,/,38849,38851
90646,/,31302,31304
90647,/,31473,31513
90648,/,31936,31961
90649,/,44003,43858
90650,/,44159,44097
90651,/,44097,44159
90652,/,45332,45321
90653,/,45334,45321
90654,/,44295,44281
90655,/,25182,44292
90656,/,29582,44292
90657,/,35235,44292
90658,/,36612,44292
90659,/,37145,44292
90660,/,43423,44292
90661,/,49271,44292
90662,/,49338,44292
90663,/,51297,44292
90664,/,68580,44292
90665,/,77676,44292
90666,/,83680,44292
90667,/,109903,44292
90668,/,1014,46178
90669,/,3047,46178
90670,/,10459,46178
90671,/,1875,46178
90672,/,22252,46178
90673,/,23274,46178
90674,/,30220,46178
90675,/,31498,46178
90676,/,37328,46178
90677,/,56977,46178
90678,/,60626,46178
90679,/,45544,46618
90680,/,46123,46618
90681,/,46619,46595
90682,/,46721,46595
90683,/,46732,46595
90684,/,46732,46613
90685,/,46595,46619
90686,/,46721,46619
90687,/,89290,46619
90688,/,46921,47136
90689,/,47135,47136
90690,/,47140,47136
90691,/,47150,47136
90692,/,47153,47136
90693,/,47803,47804
90694,/,71068,50807
90695,/,6236,54731
90696,/,16797,54731
90697,/,23422,54731
90698,/,63451,54731
90699,/,74529,54731
90700,/,83193,54731
90701,/,93655,54731
90702,/,98491,54731
90703,/,55493,55502
90704,/,49989,49949
90705,/,28693,57168
90706,/,29641,57168
90707,/,30459,57168
90708,/,36486,57168
90709,/,83402,57168
90710,/,84069,57168
90711,/,85855,57168
90712,/,6320,56812
90713,/,28672,56812
90714,/,51640,56812
90715,/,93748,56812
90716,/,80644,57429
90717,/,57956,57955
90718,/,58294,58295
90719,/,50701,54460
90720,/,89041,59010
90721,/,59024,59034
90722,/,23600,59329
90723,/,30537,59329
90724,/,37893,59329
90725,/,42103,59329
90726,/,51748,59329
90727,/,77958,59329
90728,/,81265,59329
90729,/,83199,59329
90730,/,94042,59329
90731,/,60948,60960
90732,/,6458,61063
90733,/,8853,61063
90734,/,12418,61063
90735,/,23651,61063
90736,/,36030,61063
90737,/,37974,61063
90738,/,51822,61063
90739,/,77985,61063
90740,/,94078,61063
90741,/,102705,61063
90742,/,104344,61063
90743,/,61009,61016
90744,/,62408,62418
90745,/,62409,62418
90746,/,62411,62418
90747,/,62416,62418
90748,/,62417,62418
90749,/,65073,65087
90750,/,64246,64258
90751,/,64247,64258
90752,/,64380,64351
90753,/,65333,65334
90754,/,64351,64380
90755,/,65696,65728
90756,/,66578,66577
90757,/,67592,67543
90758,/,67574,67578
90759,/,67577,67578
90760,/,25558,68824
90761,/,29674,68824
90762,/,30105,68824
90763,/,34002,71188
90764,/,76094,71188
90765,/,84385,71188
90766,/,103373,71188
90767,/,105452,71188
90768,/,75510,75499
90769,/,75492,75499
90770,/,79091,79050
90771,/,80455,80474
90772,/,6714,79762
90773,/,23998,79762
90774,/,38388,79762
90775,/,52189,79762
90776,/,78222,79762
90777,/,32501,79956
90778,/,94575,79956
90779,/,80008,79999
90780,/,80488,80486
90781,/,80493,80486
90782,/,80496,80486
90783,/,80502,80486
90784,/,87436,87435
90785,/,30968,87452
90786,/,32648,87452
90787,/,71454,87452
90788,/,84605,87452
90789,/,87812,87967
90790,/,109357,93887
90791,/,89536,89525
90792,/,91250,91292
90793,/,91252,91292
90794,/,91254,91292
90795,/,91258,91292
90796,/,91266,91292
90797,/,91269,91292
90798,/,91272,91292
90799,/,92005,91792
90800,/,92308,92295
90801,/,92295,92308
90802,/,92674,92678
90803,/,92768,92835
90804,/,92937,92835
90805,/,93005,93009
90806,/,94208,94206
90807,/,97563,97569
90808,/,101793,97165
90809,/,7096,98303
90810,/,9065,98303
90811,/,9387,98303
90812,/,9672,98303
90813,/,9813,98303
90814,/,9952,98303
90815,/,11107,98303
90816,/,24483,98303
90817,/,31134,98303
90818,/,36075,98303
90819,/,36495,98303
90820,/,36577,98303
90821,/,39115,98303
90822,/,52744,98303
90823,/,75639,98303
90824,/,78649,98303
90825,/,86653,98303
90826,/,95927,98303
90827,/,96168,98303
90828,/,96801,98303
90829,/,103018,98303
90830,/,103501,98303
90831,/,104937,98303
90832,/,10414,99726
90833,/,8401,99726
90834,/,24514,99726
90835,/,31182,99726
90836,/,39219,99726
90837,/,86365,99726
90838,/,86714,99726
90839,/,96865,99726
90840,/,99931,98615
90841,/,98615,99931
90842,/,101496,101180
90843,/,101474,101180
90844,/,101224,101210
90845,/,7159,101241
90846,/,13378,101241
90847,/,18248,18627
90848,/,18248,19068
90849,/,18248,17942
90850,/,18646,18204
90851,/,19444,19446
90852,/,19932,5837
90853,/,19932,23081
90854,/,19932,51126
90855,/,19932,77493
90856,/,20291,20262
90857,/,20291,20267
90858,/,20291,20272
90859,/,20477,607
90860,/,20552,20581
90861,/,20587,20552
90862,/,20598,20511
90863,/,20598,20552
90864,/,21284,20581
90865,/,21284,20866
90866,/,20211,20208
90867,/,21170,5904
90868,/,21170,11654
90869,/,21170,16687
90870,/,21170,23121
90871,/,21170,36968
90872,/,21170,51191
90873,/,21170,63362
90874,/,21170,74802
90875,/,21170,83120
90876,/,21170,83171
90877,/,21170,93391
90878,/,21170,95046
90879,/,23334,23335
90880,/,23334,23337
90881,/,26359,22535
90882,/,26513,6592
90883,/,26513,8886
90884,/,26513,9302
90885,/,26513,9537
90886,/,26513,9642
90887,/,26513,11094
90888,/,26513,11813
90889,/,26513,23202
90890,/,26513,34735
90891,/,26513,29550
90892,/,26513,30119
90893,/,26513,33367
90894,/,26513,35987
90895,/,26513,37198
90896,/,26513,51312
90897,/,26513,59836
90898,/,26513,63590
90899,/,26513,74305
90900,/,26513,76402
90901,/,26513,77592
90902,/,26513,83299
90903,/,26513,83383
90904,/,26513,85126
90905,/,26513,95635
90906,/,26513,95911
90907,/,26513,103955
90908,/,27428,24915
90909,/,27428,24928
90910,/,27428,29554
90911,/,27428,30146
90912,/,27428,33394
90913,/,27428,75582
90914,/,22527,1107
90915,/,22527,22524
90916,/,22715,22701
90917,/,22715,22702
90918,/,22274,5954
90919,/,22274,9020
90920,/,22274,9246
90921,/,106274,106276
90922,/,7705,106292
90923,/,4030,106292
90924,/,4126,106292
90925,/,17318,106292
90926,/,18844,106292
90927,/,66547,106292
90928,/,107024,107026
90929,/,17040,107878
90930,/,107113,107878
90931,/,52905,107878
90932,/,78810,107878
90933,/,94791,107878
90934,/,103575,107878
90935,/,109528,109517
90936,/,109036,109055
90937,/,109036,109025
90938,/,108744,109452
90939,/,108754,109452
90940,/,110523,110535
90941,/,7312,110706
90942,/,13588,110706
90943,/,24770,110706
90944,/,28915,110706
90945,/,39547,110706
90946,/,78887,110706
90947,/,86595,110706
90948,/,86984,110706
90949,/,93902,110706
90950,/,71998,111892
90951,/,70011,111892
90952,/,18248,17950
90953,/,22274,33207
90954,/,22274,74258
90955,/,22274,95234
90956,/,22274,103864
90957,/,22871,23002
90958,/,23589,23594
90959,/,25334,25333
90960,/,26699,26711
90961,/,26856,26478
90962,/,28112,28110
90963,/,28112,28108
90964,/,28112,28115
90965,/,28108,28110
90966,/,28134,24878
90967,/,38013,38012
90968,/,38013,38016
90969,/,38851,38849
90970,/,35741,35732
90971,/,40456,40483
90972,/,40041,40056
90973,/,40041,88411
90974,/,40041,88410
90975,/,31961,31936
90976,/,43854,43856
90977,/,43858,44003
90978,/,44159,44054
90979,/,45321,45320
90980,/,45321,45332
90981,/,45321,45334
90982,/,44281,44295
90983,/,44281,44301
90984,/,44428,44427
90985,/,44292,25182
90986,/,44292,35235
90987,/,44292,36612
90988,/,44292,37145
90989,/,44292,43423
90990,/,44292,49271
90991,/,44292,49338
90992,/,44292,51297
90993,/,44292,68580
90994,/,44292,77676
90995,/,44292,83258
90996,/,44292,83680
90997,/,44292,109903
90998,/,46069,46102
90999,/,46178,1014
91000,/,46178,3047
91001,/,46178,10459
91002,/,46178,15755
91003,/,46178,22252
91004,/,46178,23274
91005,/,46178,30220
91006,/,46178,31498
91007,/,46178,37328
91008,/,46178,56977
91009,/,46178,60626
91010,/,46178,67578
91011,/,46178,69246
91012,/,46178,70620
91013,/,46178,71736
91014,/,46178,74360
91015,/,46178,75679
91016,/,46178,46133
91017,/,46178,92630
91018,/,46178,96428
91019,/,46178,102367
91020,/,46178,104028
91021,/,46178,111097
91022,/,46428,46454
91023,/,45832,45834
91024,/,45931,45930
91025,/,46618,45544
91026,/,46618,46123
91027,/,46618,46642
91028,/,46595,46599
91029,/,46595,46721
91030,/,46595,46732
91031,/,46613,46732
91032,/,46619,46599
91033,/,46619,46721
91034,/,46721,46599
91035,/,46721,89290
91036,/,47136,46876
91037,/,47136,46921
91038,/,47136,47135
91039,/,47136,47140
91040,/,47136,47143
91041,/,47136,47150
91042,/,47136,47153
91043,/,47344,49054
91044,/,47344,47283
91045,/,47804,47802
91046,/,47804,47803
91047,/,47804,47805
91048,/,47804,47806
91049,/,50807,71068
91050,/,54731,6236
91051,/,54731,9410
91052,/,54731,16797
91053,/,54731,23422
91054,/,54731,63451
91055,/,54731,74529
91056,/,54731,83193
91057,/,54731,93655
91058,/,54731,98491
91059,/,55502,55493
91060,/,49949,49989
91061,/,57028,57311
91062,/,57168,28693
91063,/,57168,29641
91064,/,22274,22203
91065,/,57168,83402
91066,/,57168,85855
91067,/,56812,6320
91068,/,56812,28672
91069,/,56812,37746
91070,/,56812,51640
91071,/,56812,93748
91072,/,57429,76716
91073,/,57429,76714
91074,/,57429,80644
91075,/,57955,57956
91076,/,58295,58294
91077,/,54460,50701
91078,/,58747,58708
91079,/,59010,89041
91080,/,59010,89033
91081,/,59010,89037
91082,/,59329,9476
91083,/,59329,23600
91084,/,59329,30537
91085,/,59329,37893
91086,/,59329,42103
91087,/,59329,51748
91088,/,59329,59294
91089,/,59329,77958
91090,/,59329,81265
91091,/,59329,83199
91092,/,59329,94042
91093,/,60960,2378
91094,/,60960,57985
91095,/,60960,60917
91096,/,60960,60920
91097,/,60960,60921
91098,/,60960,60924
91099,/,60960,60926
91100,/,60960,60928
91101,/,60960,60929
91102,/,60960,60930
91103,/,60960,60933
91104,/,60960,60936
91105,/,60960,60937
91106,/,60960,60938
91107,/,60960,60939
91108,/,60960,60941
91109,/,60960,60947
91110,/,60960,60948
91111,/,60960,60949
91112,/,60960,60950
91113,/,60960,60951
91114,/,60960,60953
91115,/,60960,60955
91116,/,60960,60956
91117,/,60960,60959
91118,/,60960,60961
91119,/,60960,60963
91120,/,60960,60965
91121,/,60960,60966
91122,/,60960,60967
91123,/,60960,60968
91124,/,60960,60970
91125,/,60960,60971
91126,/,60960,60972
91127,/,60960,60973
91128,/,60960,60974
91129,/,60960,60976
91130,/,60960,60979
91131,/,60960,60980
91132,/,60960,65277
91133,/,61063,6458
91134,/,61063,8853
91135,/,61063,12418
91136,/,61063,23651
91137,/,61063,36030
91138,/,61063,37974
91139,/,61063,51822
91140,/,61063,74725
91141,/,61063,77985
91142,/,61063,94078
91143,/,61063,102705
91144,/,61063,104344
91145,/,60794,60803
91146,/,61016,61013
91147,/,59825,24901
91148,/,59825,77610
91149,/,59897,3835
91150,/,59897,15110
91151,/,59897,59791
91152,/,59897,59792
91153,/,59897,59794
91154,/,59897,59891
91155,/,59897,59892
91156,/,59897,59893
91157,/,59897,59894
91158,/,59897,59896
91159,/,59897,59898
91160,/,59897,59900
91161,/,59897,59901
91162,/,59897,59903
91163,/,59897,59904
91164,/,59897,59905
91165,/,59897,59907
91166,/,59897,94054
91167,/,59897,107812
91168,/,62418,4738
91169,/,62418,4739
91170,/,62418,32251
91171,/,62418,42169
91172,/,62418,42170
91173,/,62418,62408
91174,/,62418,62409
91175,/,62418,62410
91176,/,57168,36486
91177,/,62418,62413
91178,/,62418,62415
91179,/,62418,62416
91180,/,62418,62417
91181,/,63045,63022
91182,/,63045,63042
91183,/,65087,65073
91184,/,65087,65081
91185,/,65467,65466
91186,/,62321,62326
91187,/,62321,62325
91188,/,62321,62323
91189,/,64128,64118
91190,/,64258,64246
91191,/,64258,64247
91192,/,64749,64731
91193,/,65334,65333
91194,/,64246,64247
91195,/,65728,65690
91196,/,65728,65692
91197,/,65728,65696
91198,/,65728,65697
91199,/,65728,65701
91200,/,65728,65702
91201,/,65728,65718
91202,/,65728,65733
91203,/,65728,65734
91204,/,66778,66728
91205,/,67500,67505
91206,/,67500,67511
91207,/,66577,66578
91208,/,66577,66580
91209,/,66577,66581
91210,/,67543,67592
91211,/,67578,67574
91212,/,67578,67576
91213,/,67578,67577
91214,/,67578,67580
91215,/,67578,67581
91216,/,68824,25558
91217,/,68824,29674
91218,/,68824,30105
91219,/,68824,33959
91220,/,68824,35439
91221,/,68824,53348
91222,/,68824,63387
91223,/,68824,63921
91224,/,68824,76024
91225,/,68824,83270
91226,/,68824,86001
