id,lemma,pronunciation
511,ἄγκος,/áŋ.kos/
512,ἀγκοτύλη,
513,ἀγκτήρ,
520,ἀγκύλιον,
521,ἀγκυλίς,/aŋ.ky.lís/
523,ἀγκυλοβλέφαρον,
524,ἀγκυλόγλωσσον,
525,ἀγκυλογλώχιν,
527,ἀγκυλόδους,
532,ἀγκυλομαχία,
534,ἀγκυλόμητις,
535,ἀγκυλόπους,
538,ἀγκυλοχείλης,
539,ἀγκυλοχήλης,
541,ἀγκύλωμα,
542,ἀγκύλωσις,
544,ἄγκυρα,/áŋ.kyː.ra/
545,ἀγκυρηβόλιον,
547,ἀγκύριον,
548,ἀγκύρισμα,
549,ἀγκυρίτης,
551,ἀγκυροβόλιον,
553,ἀγκυρόμαχος,
554,ἀγκυρομήλη,
555,ἀγκυρουχία,
557,ἀγκών,
558,ἀγκώνη,
560,ἀγκώνιον,
561,ἀγκωνίσκιον,
562,ἀγκωνίσκος,
563,ἀγκωνισμός,
567,ἀγλαί̈α,
568,ἀγλάϊσμα,
569,ἀγλαϊσμός,
582,ἀγλαόμητις,
585,ἀγλαόπαις,
592,ἀγλαοτρίαινα,
593,ἀγλαόφαντον,
599,ἀγλαοφῶτις,
603,ἀγλαώψ,
605,ἀγλίη,
606,ἀγλιθάριον,
607,ἄγλις,/á.ɡliːs/
614,ἄγμα,
615,ἀγμός,
619,ἁγνεία,/ha.ɡněː.aː/
620,ἅγνευμα,
621,ἁγνευτήριον,
623,ἁγνεύτρια,
626,ἁγνεών,
627,ἁγνιασμός,
630,ἅγνισμα,
631,ἁγνισμός,/ha.ɡniz.mós/
633,ἁγνιστήριον,
634,ἁγνιστής,
636,ἁγνίτης,
638,ἀγνόημα,/a.ɡnó.ɛː.ma/
640,ἀγνόησις,
644,ἄγνοια,
645,ἀγνοιῆσι,
646,ἀγνόκοκκος,
652,ἄγνος,/á.ɡnos/
654,ἁγνοσύνη,
656,ἁγνότης,/ha.ɡnó.tɛːs/
658,ἄγνυον,
659,ἀγνύς,
663,ἀγνωμοσύνη,
667,ἀγνωσία,/a.ɡnɔː.sí.aː/
671,ἀγνωτίδιον,
674,ἄγξις,
680,ἀγονία,
683,ἀγορά,/a.ɡo.rǎː/
687,ἀγορανομία,
689,ἀγορανόμιον,
691,ἀγορανόμος,
694,ἀγορασία,
695,ἀγόρασις,
696,ἀγόρασμα,
697,ἀγορασμός,
698,ἀγοραστής,
701,ἀγοράστρια,
702,ἀγορατρός,
703,ἀγορᾶχος,
704,ἀγόρευσις,
705,ἀγορευτήριον,
706,ἀγορευτής,
708,ἀγορηγός,
710,ἀγορήιος,
712,ἀγορητής,
713,ἀγορητύς,
715,ἄγορος,
716,ἀγός,
717,ἄγος,
718,ἄγος,
720,ἀγοστός,
721,ἄγουρος,
722,ἄγρα,/á.ɡraː/
725,ἀγραμματία,
728,ἀγράνδις,
732,ἀγραυλία,
735,ἀγραφίου,
737,ἄγρει,
739,ἀγρειοσύνη,
740,ἀγρεῖφνα,
741,ἀγρέμιον,
742,ἀγρεμών,
743,ἀγρεσία,
744,ἀγρεταί,
746,ἀγρέτης,
747,ἄγρευμα,
748,ἀγρεύς,
750,ἄγρευσις,
751,ἀγρευτήρ,
752,ἀγρευτής,
754,ἀγρευτίς,
759,ἀγρηνόν,
760,ἀγρία,
762,ἀγριάνθρωπος,
763,ἀγρίαππις,
764,ἀγριάς,
